"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","위도","경도"
"5122","제3종일반주거지역_00275","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5896276","127.0099522"
"5128","제3종일반주거지역_00795","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.4917435","127.0433959"
"5129","준주거지역_UQA13020120816979","UQA130","준주거지역","UQA13020120816979","58029356","준주거지역","20120223","37.5372687","126.9447934"
"5130","제2종일반주거지역(7층이하)_00692","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5426898","126.830196"
"5297","제2종일반주거지역_UQA12220140721252","UQA122","제2종일반주거지역","UQA12220140721252","58033232","제2종일반주거지역","20140626","37.5505923","126.9481959"
"5298","제1종일반주거지역_UQA12120140722261","UQA121","제1종일반주거지역","UQA12120140722261","58033252","제1종일반주거지역","20140515","37.5087236","126.9391371"
"5299","제2종일반주거지역(7층이하)_00205","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5499259","127.0326874"
"5303","제3종일반주거지역_UQA12320140724270","UQA123","제3종일반주거지역","UQA12320140724270","58033293","3종일반주거지역","20140710","37.5950923","126.9207044"
"5028","제1종일반주거지역_00071","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5561714","126.9650283"
"5029","제2종일반주거지역_00644","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5775775","126.9219605"
"5038","제3종일반주거지역_00478","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5715128","126.8459588"
"5041","제2종일반주거지역_00114","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5317026","127.0102611"
"5042","제1종일반주거지역_00049","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5740624","127.0162985"
"5046","제2종일반주거지역(7층이하)_00505","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.6246566","127.0898842"
"5139","제1종일반주거지역_00927","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.48925","126.8806752"
"5140","제1종일반주거지역_00770","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5066853","126.8603916"
"5141","제1종일반주거지역_01061","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4791949","126.9625433"
"5142","제2종일반주거지역(7층이하)_00566","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5843242","126.9450253"
"5143","제2종일반주거지역(7층이하)_UQA12420130826678","UQA124","제2종일반주거지역(7층이하)","UQA12420130826678","58031680","제2종일반주거지역(7층이하)","20130822","37.493477","126.9617907"
"5144","제3종일반주거지역_UQA12320130826676","UQA123","제3종일반주거지역","UQA12320130826676","58031679","제3종일반주거지역","20130530","37.5057763","126.938235"
"5147","제2종일반주거지역(7층이하)_00048","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.4949015","127.1507757"
"5148","제1종일반주거지역_00147","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5414515","127.0867411"
"5149","제2종일반주거지역(7층이하)_00001","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.510472","126.9112938"
"5150","제1종일반주거지역_01241","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5108774","127.0267284"
"5152","제1종일반주거지역_01105","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4740031","126.9623434"
"5154","제1종일반주거지역_00068","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5486788","127.0115932"
"5155","제2종일반주거지역(7층이하)_00867","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.4721634","126.9749657"
"5159","제1종일반주거지역_UQA12120131126908","UQA121","제1종일반주거지역","UQA12120131126908","58032192","제1종일반주거지역","20130912","37.5985141","126.9353314"
"5160","제2종일반주거지역_UQA12220150130641","UQA122","제2종일반주거지역","UQA12220150130641","58034252","제2종일반주거(12층)","20100128","37.4789998","126.892033"
"5161","제1종일반주거지역_UQA12120140610180","UQA121","제1종일반주거지역","UQA12120140610180","58032992","제1종일반주거지역","20140501","37.6058247","127.0702441"
"5165","제3종일반주거지역_UQA12320120824031","UQA123","제3종일반주거지역","UQA12320120824031","58029616","제3종일반주거지역","20120510","37.490463","127.0062334"
"5167","제1종일반주거지역_00851","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5607072","126.8403229"
"5300","준주거지역_UQA13020110124670","UQA130","준주거지역","UQA13020110124670","58026336","준주거지역","20101115","37.4781006","126.8201418"
"5307","제2종일반주거지역_UQA12220110907217","UQA122","제2종일반주거지역","UQA12220110907217","58027738","제2종일반주거지역(12층이하)","20110811","37.5466772","126.9255214"
"5308","제3종일반주거지역_2193","UQA123","제3종일반주거지역","101770","11500015","제3종일반주거지역"," ","37.5225026","126.8527932"
"5312","제2종일반주거지역_01335","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5619541","127.016394"
"5314","제2종일반주거지역(7층이하)_00130","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5342695","127.0004172"
"5316","제1종일반주거지역_00415","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.628402","127.0479942"
"5317","제2종일반주거지역_UQA12220101214584","UQA122","제2종일반주거지역","UQA12220101214584","58023654","제2종일반주거지역","20100722","37.4963252","126.9398202"
"5053","제1종일반주거지역_00881","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5470854","126.8478594"
"5054","제2종일반주거지역(7층이하)_00151","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5636195","127.0531903"
